"id","type_id","name","short_name","is_updated","is_actual","only_name"
105,2,Садоводческое товарищество ВИР-1,с/т ВИР-1,true,false,ВИР-1
368,15,Ижорский завод,Ижорский завод,true,true,Ижорский завод
404,9,квартал 7-й,квартал 7-й,true,false,"7-й"
528,12,Екатерининский парк,Екатерининский парк,true,true,Екатерининский
613,32,берег Глухого озера,берег Глухого озера,true,true,Глухого озера
669,38,"участок ЛЭП ""л 220 220кВ""","участок ЛЭП ""л 220 220кВ""",true,true,"""л 220 220кВ"""
814,38,"участок ЛЭП ""л Б-5 110кВ""","участок ЛЭП ""л Б-5 110кВ""",true,false,"""л Б-5 110кВ"""
861,38,"участок ЛЭП ""л Я-9 110кВ""","участок ЛЭП ""л Я-9 110кВ""",true,false,"""л Я-9 110кВ"""
926,7,Бычий остров,Бычий о.,true,true,Бычий
1032,15,военный городок,в/г,true,true,военный городок
1049,37,"участок набережной Обводного канала""Синий мост-Пеньковый мост""","участок набережной Обводн. кан.""Синий-Пеньковый""",true,true,"Обводного канала""Синий мост-Пеньковый мост"""
1187,36,"1-й Южный форт","1-й Южный форт",true,true,"1-й Южный"
1376,24,"участок ж/д ""ст. Купчино""","участок ж/д ""ст. Купчино""",true,false,"""ст. Купчино"""
1476,41,сквер Маневича,сквер Маневича,true,true,Маневича
1477,40,телефонная сеть,телефонная сеть,true,true,телефонная
1480,23,Замшин сад,Замшин сад,true,false,Замшин
1525,41,сквер Харитонова,сквер Харитонова,true,true,Харитонова
1557,30,"садоводство ""Звёздочка""","садоводство ""Звёздочка""",true,true,"""Звёздочка"""
1584,,форт Пётр I,форт Пётр I,true,true,Пётр I
1607,55,"участок ж.д. ""р.Караста - ж.-д. переезд""","участок ж.д. ""р.Караста - ж.-д. переезд""",true,true,"""р.Караста - ж.-д. переезд"""
1636,52,станционные пути ст. Пискарёвка,станционные пути ст. Пискарёвка,true,true,Пискарёвка
1771,49,"Московское направление ж.д. ""мост через р.Славянку""","Московское направление ж.д. ""мост через р.Славянку""",true,true,"Московское ""мост через р.Славянку"""
5257,12,Полежаевский парк,Полежаевский парк,true,true,Полежаевский
5351,40,газопроводная сеть,газопроводная сеть,true,true,газопроводная
5461,38,"участок ЛЭП ""л Колпинская-11 110кВ""","участок ЛЭП ""л Колпинская-11 110кВ""",true,true,"""л Колпинская-11 110кВ"""
5529,40,газопроводная сеть,газопроводная сеть,true,true,газопроводная
