"id","name","short_name","is_updated","is_actual"
27,территория предприятия,территория предприятия,true,true
29,земли,земли,true,true
30,садоводство,сад-во,true,true
31,дачный посёлок,дачный посёлок,true,true
32,берег,берег,true,true
33,территория,территория,true,true
34,лесничество,лесничество,true,true
35,деревня,дер.,true,true
36,форт,форт,true,true
37,участок набережной,участок набережной,true,true
38,участок ЛЭП,участок ЛЭП,true,true
39,путепровод,путепровод,true,true
40,сеть,сеть,true,true
41,сквер,сквер,true,true
42,подъездной путь,подъездной путь,true,true
43,транспортный тоннель,трансп. тоннель,true,true
44,канализационный коллектор,канализационный коллектор,true,true
45,трасса,трасса,true,true
46,магистраль,магистраль,true,true
47,огородничество,огородничество,true,true
48,участок путепровода,участок путепровода,true,true
49,направление железной дороги,направление ж.д.,true,true
50,полукольцо железной дороги,полукольцо ж.д.,true,true
51,ветвь железной дороги,ветвь ж.д.,true,true
7314,ПКС,ПКС,true,true
7431,тер. СНТ,тер. СНТ,true,true
7623,тер. ТСН,тер. ТСН,true,true
7624,тер. НСТ,тер. НСТ,true,true
7903,тоннель,тоннель,true,true
1,Неизвестно,Неизвестно,true,true
2,Садоводческое товарищество,с/т,true,false
3,Коллективное садоводство,Коллект. садоводство,true,false
4,Коллективный сад,Коллект. сад,true,false
5,Дачно-строительный кооператив,ДСК,true,false
6,крепость,крепость,true,true
7,остров,о.,true,true
8,промзона,промзона,true,true
9,квартал,квартал,true,true
10,станция,ст.,true,true
11,площадка,площадка,true,true
12,парк,парк,true,true
13,совхоз,свх.,true,false
14,нежилая зона,нежилая зона,true,true
15,"","",true,true
16,городок,городок,true,true
17,посёлок,пос.,true,true
18,Садоводческий кооператив,Садоводческий кооператив,true,false
19,потребительский кооператив садоводства,потреб. кооператив садоводства,true,false
20,кладбище,кладбище,true,true
21,пристань,пристань,true,true
22,пляж,пляж,true,true
23,сад,сад,true,true
24,участок ж/д,участок ж/д,true,true
25,участок,уч.,true,false
26,земли с.х. предприятия,земли с.х. предприятия,true,false
28,район,р-он,true,true
52,станционные пути станции,станционные пути ст.,true,true
53,электросеть,электросеть,true,true
54,соединительная линия железной дороги,соединительная линия ж.д.,true,true
55,участок железной дороги,участок ж.д.,true,true
5540,ЛЭП,ЛЭП,true,true
5541,нефтепродуктопровод,нефтепродуктопровод,true,true
6076,река,р.,true,true
6172,мемориал,мемориал,true,true
6199,гавань,гавань,true,true
6202,бассейн,бассейн,true,true
6209,линия,линия,true,true
6340,канал,кан.,true,true
6468,автодорога,автодорога,true,true
6735,ВЛ,ВЛ,true,true
6831,сети,сети,true,true
7168,СНТ,СНТ,true,true
