"id","name","is_updated","is_actual"
1,Неизвестно,true,true
6,Василеостровский,true,true
7,Петроградский,true,true
10,Калининский,true,true
11,Красногвардейский,true,true
12,Невский,true,true
13,Фрунзенский,true,true
14,Московский,true,true
15,Кировский,true,true
16,Красносельский,true,true
17,Ломоносовский,true,false
21,Петродворцовый,true,true
27,Павловский,true,false
31,Центральный,true,true
32,Адмиралтейский,true,true
34,Приморский,true,true
35,Пушкинский,true,true
36,Выборгский,true,true
37,Колпинский,true,true
38,Курортный,true,true
50,Кронштадтский,true,true
100000,Гатчинский ЛО,true,true
100001,Всеволожский ЛО,true,true
100002,Лужский ЛО,true,true
100003,Приозерский ЛО,true,true
100004,Кингисеппский ЛО,true,true
100005,Тосненский ЛО,true,true
100006,Кировский ЛО,true,true
100007,Сосновоборский ЛО,true,true
100008,Волховский ЛО,true,true
100009,Выборгский ЛО,true,true
100010,Пресненский,true,false
100011,Ломоносовский ЛО,true,true
100012,Бокситогорский ЛО,true,true
100013,Киришский ЛО,true,true
100014,Лодейнопольский ЛО,true,true
100015,Подпорожский ЛО,true,true
100016,Сланцевский ЛО,true,true
100017,Тихвинский ЛО,true,true
100018,Волосовский ЛО,true,true
