"id","type_id","name","short_name","is_updated","is_actual","only_name"
100038,19,ЗСД,ЗСД,true,true,ЗСД
502,2,"3-я аллея","3-я аллея",true,true,"3-я"
634,12,Новая улица,Новая ул.,true,true,Новая
710,8,"4-й переулок","4-й пер.",true,true,"4-й"
771,8,Озерной переулок,Озерной пер.,true,true,Озерной
1225,11,"2-й проезд","2-й проезд",true,true,"2-й"
2128,8,Угловой переулок,Угловой пер.,true,true,Угловой
2174,12,Средняя улица,Средняя ул.,true,true,Средняя
2255,11,Лаврский проезд,Лаврский проезд,true,true,Лаврский
2327,13,Южное шоссе,Южное шоссе,true,true,Южное
2755,12,Полевая улица,Полевая ул.,true,true,Полевая
2876,8,Косой переулок,Косой пер.,true,true,Косой
2977,11,"1-й проезд","1-й проезд",true,true,"1-й"
3009,12,улица Комсомола,ул. Комсомола,true,true,Комсомола
3272,6,"2-я линия","2-я линия",true,true,"2-я"
3431,12,Новая улица,Новая ул.,true,true,Новая
3642,2,"2-я аллея","2-я аллея",true,true,"2-я"
3767,2,"13-я аллея","13-я аллея",true,true,"13-я"
3913,6,"3-я линия","3-я линия",true,true,"3-я"
4053,6,"9-я линия","9-я линия",true,true,"9-я"
4117,6,"1-я линия","1-я линия",true,true,"1-я"
4133,12,Речная улица,Речная ул.,true,false,Речная
4374,19,Харламов мост,Харламов мост,true,true,Харламов мост
4608,5,"23-я дорожка","23-я дорожка",true,false,"23-я"
5156,6,"15-я линия","15-я линия",true,true,"15-я"
6087,6,"1-я линия","1-я линия",true,true,"1-я"
7312,12,Полевая улица,Полевая ул.,true,false,Полевая
7406,10,Советский проспект,Советский пр.,true,false,Советский
-4374,19,Комсомольский мост,Комсомольский мост,true,false,Комсомольский мост
-4368,19,Кировский мост,Кировский мост,true,false,Кировский мост
-4356,19,Пионерский мост,Пионерский мост,true,false,Пионерский мост
-4352,19,Мост Свободы,Мост Свободы,true,false,Мост Свободы
-4328,19,Мост Пестеля,Мост Пестеля,true,false,Мост Пестеля
-4113,9,площадь Революции,пл. Революции,true,false,Революции
-3307,12,улица Бродского,ул. Бродского,true,false,Бродского
-3306,12,улица Софьи Перовской,ул. Софьи Перовской,true,false,Софьи Перовской
-2043,9,площадь Коммунаров,пл. Коммунаров,true,false,Коммунаров
-2012,10,проспект Огородникова,пр. Огородникова,true,false,Огородникова
-1797,8,переулок Марии Ульяновой,пер. Марии Ульяновой,true,false,Марии Ульяновой
-1765,12,улица Толмачева,ул. Толмачева,true,false,Толмачева
-1714,12,улица Дзержинского,ул. Дзержинского,true,false,Дзержинского
-1696,12,улица Петра Лаврова,ул. Петра Лаврова,true,false,Петра Лаврова
-1657,12,улица Халтурина,ул. Халтурина,true,false,Халтурина
-1638,10,проспект Максима Горького,пр. Максима Горького,true,false,Максима Горького
-1616,7,набережная Канал Круштейна,наб. Канал Круштейна,true,false,Канал Круштейна
-1606,8,переулок Подбельского,пер. Подбельского,true,false,Подбельского
-1605,3,бульвар Профсоюзов,бульв. Профсоюзов,true,false,Профсоюзов
-1531,12,улица Олега Кошевого,ул. Олега Кошевого,true,false,Олега Кошевого
-1473,12,улица Скороходова,ул. Скороходова,true,false,Скороходова
-1418,12,улица Анны Ульяновой,ул. Анны Ульяновой,true,false,Анны Ульяновой
-1413,10,проспект Щорса,пр. Щорса,true,false,Щорса
-930,13,проспект Смирнова,проспект Смирнова,true,false,проспект Смирнова
-902,12,улица Фофановой,ул. Фофановой,true,false,Фофановой
-901,12,улица Фотиевой,ул. Фотиевой,true,false,Фотиевой
1,12,улица Неизвестно,ул. Неизвестно,true,true,Неизвестно
2,2,Сосновая аллея,Сосновая аллея,true,false,Сосновая
3,12,Пляжевая улица,Пляжевая ул.,true,true,Пляжевая
4,12,Детская улица,Детская ул.,true,true,Детская
5,8,Сосновый переулок,Сосновый пер.,true,true,Сосновый
6,8,Железнодорожный переулок,Железнодорожный пер.,true,true,Железнодорожный
7,12,Вокзальная улица,Вокзальная ул.,true,true,Вокзальная
8,12,Песочная улица,Песочная ул.,true,true,Песочная
9,12,Узкая улица,Узкая ул.,true,false,Узкая
10,12,Почтовая улица,Почтовая ул.,true,true,Почтовая
11,8,Почтовый переулок,Почтовый пер.,true,true,Почтовый
12,12,Тихая улица,Тихая ул.,true,true,Тихая
13,12,Сосновая улица,Сосновая ул.,true,true,Сосновая
14,12,Полевая улица,Полевая ул.,true,true,Полевая
15,13,Приморское шоссе,Приморское шоссе,true,true,Приморское
16,12,Солнечная улица,Солнечная ул.,true,true,Солнечная
17,12,улица Павлика Морозова,ул. Павлика Морозова,true,false,Павлика Морозова
18,2,Еловая аллея,Еловая аллея,true,true,Еловая
19,13,Средневыборгское шоссе,Средневыборгское шоссе,true,true,Средневыборгское
20,12,Полевая улица,Полевая ул.,true,true,Полевая
21,12,Туристическая улица,Туристическая ул.,true,false,Туристическая
22,12,Сочинская улица,Сочинская ул.,true,true,Сочинская
23,12,Набережная улица,Набережная ул.,true,true,Набережная
24,12,Волго-Донская улица,Волго-Донская ул.,true,true,Волго-Донская
25,12,улица Правды,ул. Правды,true,true,Правды
26,8,переулок Правды,пер. Правды,true,true,Правды
27,8,Луговой переулок,Луговой пер.,true,true,Луговой
28,12,Лагерная улица,Лагерная ул.,true,true,Лагерная
29,12,Почтовая улица,Почтовая ул.,true,true,Почтовая
30,8,"1-й Дачный переулок","1-й Дачный пер.",true,true,"1-й Дачный"
31,12,Минская улица,Минская ул.,true,true,Минская
32,8,"2-й Дачный переулок","2-й Дачный пер.",true,true,"2-й Дачный"
33,8,"3-й Дачный переулок","3-й Дачный пер.",true,true,"3-й Дачный"
34,12,Советская улица,Советская ул.,true,true,Советская
35,12,Дачная улица,Дачная ул.,true,true,Дачная
36,12,улица Олега Кошевого,ул. Олега Кошевого,true,true,Олега Кошевого
37,12,Пионерская улица,Пионерская ул.,true,true,Пионерская
38,12,Экипажная улица,Экипажная ул.,true,true,Экипажная
39,2,Уютная аллея,Уютная аллея,true,true,Уютная
40,12,Экипажная улица,Экипажная ул.,true,true,Экипажная
41,12,улица Мичурина,ул. Мичурина,true,true,Мичурина
42,12,Десантная улица,Десантная ул.,true,true,Десантная
43,8,Экипажный переулок,Экипажный пер.,true,true,Экипажный
44,8,Детский переулок,Детский пер.,true,true,Детский
45,12,Пограничная улица,Пограничная ул.,true,true,Пограничная
46,10,Приморский проспект,Приморский пр.,true,false,Приморский
47,10,проспект Ленина,пр. Ленина,true,true,Ленина
48,12,"1-я Лесная улица","1-я Лесная ул.",true,true,"1-я Лесная"
49,12,Моховая улица,Моховая ул.,true,true,Моховая
50,12,"3-я Лесная улица","3-я Лесная ул.",true,true,"3-я Лесная"
51,12,Овражная улица,Овражная ул.,true,true,Овражная
52,12,Кривоносовская улица,Кривоносовская ул.,true,true,Кривоносовская
53,8,Кривоносовский переулок,Кривоносовский пер.,true,true,Кривоносовский
54,12,Вокзальная улица,Вокзальная ул.,true,true,Вокзальная
55,12,Торфяная улица,Торфяная ул.,true,true,Торфяная
