"id","name","short_name","is_updated","is_actual"
1,Неизвестно,Неизвестно,true,true
2,аллея,аллея,true,true
3,бульвар,бульв.,true,true
4,дорога,дор.,true,true
5,дорожка,дорожка,true,true
6,линия,линия,true,true
7,набережная,наб.,true,true
8,переулок,пер.,true,true
9,площадь,пл.,true,true
10,проспект,пр.,true,true
11,проезд,проезд,true,true
12,улица,ул.,true,true
13,шоссе,шоссе,true,true
14,тупик,тупик,true,true
15,остров,остров,true,false
16,переезд,переезд,true,true
17,парк,парк,true,false
18,км,км,true,true
19,"","",true,true
20,вал,вал,true,true
21,кольцо,кольцо,true,true
22,слобода,слобода,true,true
6096,спуск,спуск,true,true
