"id","name","short_name","is_updated","is_actual"
7,город Павловск,г.Павловск,true,false
8,город Петродворец,г.Петродворец,true,false
9,город Пушкин,г.Пушкин,true,false
10,город Сестрорецк,г.Сестрорецк,true,false
11,Пушкинский район,Пушкинский р-он,true,false
12,Курортный район,Курортный р-он,true,false
13,Колпинский район,Колпинский р-он,true,false
14,Петродворцовый район,Петродворцовый р-он,true,false
15,Санкт-Петербург,Санкт-Петербург,true,true
77,Москва,Москва,true,true
5645,Ленинградская область,Ленинградская обл.,true,true
7164,г.Санкт-Петербург,г.Санкт-Петербург,true,true
1,Неизвестно,Неизвестно,true,true
2,г.Санкт-Петербург,г.Санкт-Петербург,true,false
3,город Зеленогорск,г.Зеленогорск,true,false
4,город Колпино,г.Колпино,true,false
5,город Кронштадт,г.Кронштадт,true,false
6,город Ломоносов,г.Ломоносов,true,false
