,address,target_building_id,target_address
3252,"Коллонтай, д.6",141557,"г.Санкт-Петербург, улица Коллонтай, дом 6, корпус 1, литера А"
4508,"Суздальское, д.24",222076,"г.Санкт-Петербург, Суздальское шоссе, дом 24, корпус 1, строение 1"
2381,"Посадская, д.3",80115,"г.Санкт-Петербург, Малая Посадская улица, дом 3, литера А"
3603,"Дибуновская, д.19",110947,"г.Санкт-Петербург, Дибуновская улица, дом 19, литера А"
1997,"Адмирала Черокова, д.22",208028,"г.Санкт-Петербург, улица Адмирала Черокова, дом 22, литера А"
2488,"Бабушкина, д.82",54988,"г.Санкт-Петербург, улица Бабушкина, дом 82, литера А"
1539,"Авангардная, д.53",52299,"г.Санкт-Петербург, Авангардная улица, дом 53, литера А"
5027,"Заводской, д.30",80519,"Санкт-Петербург, город Колпино, Заводской проспект, дом 30, литера А"
3500,"Лыжный, д.4",163085,"г.Санкт-Петербург, Лыжный переулок, дом 4, корпус 1, литера А"
3414,"Крыленко, д.2",127074,"г.Санкт-Петербург, улица Крыленко, дом 2, корпус 4, литера А"
1825,"Красногородская, д.11",52381,"Санкт-Петербург, город Красное Село, Красногородская улица, дом 11, корпус 1, литера А"
5781,"Большой Сампсониевский, д.83",111357,"г.Санкт-Петербург, Большой Сампсониевский проспект, дом 83, литера А"
5882,"Просвещения, д.52",62280,"г.Санкт-Петербург, проспект Просвещения, дом 52, корпус 2, литера А"
6489,"Заречная, д.19",205395,"Санкт-Петербург, посёлок Парголово, Заречная улица, дом 19, корпус 1, литера А"
5591,"Дунайский, д.14",205118,"г.Санкт-Петербург, Дунайский проспект, дом 14, корпус 1, литера А"
4906,"Заводской, д.48",52142,"Санкт-Петербург, город Колпино, Заводской проспект, дом 48, литера А"
3689,"Королёва, д.30",63827,"г.Санкт-Петербург, проспект Королёва, дом 30, корпус 1, литера А"
5918,"Руднева, д.8",90841,"г.Санкт-Петербург, улица Руднева, дом 8, корпус 1, литера А"
3853,"Приморский, д.169",80978,"г.Санкт-Петербург, Приморский проспект, дом 169, литера А"
1817,"Красногородская, д.5",13079,"Санкт-Петербург, город Красное Село, Красногородская улица, дом 5, корпус 1, литера А"
261,"Гражданский, д.126",27849,"г.Санкт-Петербург, Гражданский проспект, дом 126, корпус 1, литера А"
71,"Светлановский, д.48/19",124777,"г.Санкт-Петербург, Светлановский проспект, дом 48"
2461,"Карла Либкнехта, д.25",43846,"Санкт-Петербург, город Кронштадт, улица Карла Либкнехта, дом 25, литера А"
1357,"Передовиков, д.3",8660,"г.Санкт-Петербург, улица Передовиков, дом 3, литера А"
3751,"Матроса Железняка, д.1",25274,"г.Санкт-Петербург, улица Матроса Железняка, дом 1, литера А"
2264,"Ленина, д.22",1669,"г.Санкт-Петербург, улица Ленина, дом 22, литера А"
6644,"Манчестерская, д.6",22860,"г.Санкт-Петербург, Манчестерская улица, дом 6, литера А"
1500,"Ветеранов, д.136",33483,"г.Санкт-Петербург, проспект Ветеранов, дом 136, литера А"
1077,"Ленская, д.20",19410,"г.Санкт-Петербург, Ленская улица, дом 20, корпус 1, литера А"
4378,"Приморский, д.11",37462,"г.Санкт-Петербург, Приморский проспект, дом 11, литера А"
3458,"Мебельная, д.21",133763,"г.Санкт-Петербург, Мебельная улица, дом 21, корпус 1, литера А"
3650,"Камышовая, д.12",103116,"г.Санкт-Петербург, Камышовая улица, дом 12, корпус 1, литера А"
4788,"Стахановская, д.20",9917,"Санкт-Петербург, город Колпино, Стахановская улица, дом 20, литера А"
2346,"Сургина, д.7",30803,"Санкт-Петербург, город Кронштадт, улица Сургина, дом 7, литера А"
5570,"Дунайский, д.3",78800,"г.Санкт-Петербург, Дунайский проспект, дом 3, литера А"
6937,"Кедринская, д.12",125841,"Санкт-Петербург, город Пушкин, Кедринская улица, дом 12, литера А"
7155,"Пущинская (Новосёлки тер.), д.3",8183,"Санкт-Петербург, посёлок Левашово, территория Новосёлки, Родниковый переулок, дом 3, литера А"
2999,"Клочков, д.10",42765,"г.Санкт-Петербург, Клочков переулок, дом 10, литера А"
2430,"Флотская, д.2",89577,"Санкт-Петербург, город Кронштадт, Флотская улица, дом 2, литера А"
3526,"Авиаконструкторов, д.44",72784,"г.Санкт-Петербург, проспект Авиаконструкторов, дом 44, корпус 1, литера А"
2163,"Всеволода Вишневского, д.13",13785,"г.Санкт-Петербург, улица Всеволода Вишневского, дом 13, литера А"
27,"Тихорецкий, д.3",47976,"г.Санкт-Петербург, Тихорецкий проспект, дом 3, литера Д"
92,"Северный, д.69/98",54139,"г.Санкт-Петербург, Северный проспект, дом 69/98, литера А"
2467,"Гражданская, д.21",19446,"г.Санкт-Петербург, Гражданская улица, дом 21, литера А"
201,"Верности, д.34",50243,"г.Санкт-Петербург, улица Верности, дом 34, литера А"
330,"Карпинского, д.24",90087,"г.Санкт-Петербург, улица Карпинского, дом 24, литера А"
214,"Верности, д.7",40625,"г.Санкт-Петербург, улица Верности, дом 7, литера А"
4102,"Сердобольская, д.37",100771,"г.Санкт-Петербург, Сердобольская улица, дом 37, литера А"
